"","pol_ID_orthogonal","V1","V2","lon_centroid_orthogonal","lat_centroid_orthogonal","state_segment","point","latitude","longitude","radians_parallel","length_parallel","radians_orthogonal","length_orthogonal","perp_slope","slope","end_longitude","end_latitude","chunk","lead_lat","lead_lon","lead_end_lat","lead_end_lon","state"
"1","chunk_1_1",-49.5424,0.45539999,-48.7233286581003,1.49929346265476,"AP",314,0.45539999,-49.5424,0,NA,0.781344427,4.0100002,0.477908306476765,-2.09245159886883,-46.6954306322264,3.27938069513223,1,0.69999999,-50.23,1.56239317548679,-48.4254840001746,"AP"
"2","chunk_1_1",-50.23,0.69999999,-48.7233286581003,1.49929346265476,"AP",314,0.45539999,-49.5424,0,NA,0.781344427,4.0100002,0.477908306476765,-2.09245159886883,-46.6954306322264,3.27938069513223,1,0.69999999,-50.23,1.56239317548679,-48.4254840001746,"AP"
"3","chunk_1_1",-48.4254840001746,1.56239317548679,-48.7233286581003,1.49929346265476,"AP",314,0.45539999,-49.5424,0,NA,0.781344427,4.0100002,0.477908306476765,-2.09245159886883,-46.6954306322264,3.27938069513223,1,0.69999999,-50.23,1.56239317548679,-48.4254840001746,"AP"
"4","chunk_1_1",-46.6954306322264,3.27938069513223,-48.7233286581003,1.49929346265476,"AP",314,0.45539999,-49.5424,0,NA,0.781344427,4.0100002,0.477908306476765,-2.09245159886883,-46.6954306322264,3.27938069513223,1,0.69999999,-50.23,1.56239317548679,-48.4254840001746,"AP"
"5","chunk_1_2",-50.23,0.69999999,-49.0549597500982,1.45509616183632,"AP",251,0.69999999,-50.23,0,0.91000003,0.445818577457116,2,0.477908306476765,-2.09245159886883,-48.4254840001746,1.56239317548679,1,1.24,-49.91,2.31799148185849,-47.6543550002182,"AP"
"6","chunk_1_2",-49.91,1.24,-49.0549597500982,1.45509616183632,"AP",251,0.69999999,-50.23,0,0.91000003,0.445818577457116,2,0.477908306476765,-2.09245159886883,-48.4254840001746,1.56239317548679,1,1.24,-49.91,2.31799148185849,-47.6543550002182,"AP"
"7","chunk_1_2",-47.6543550002182,2.31799148185849,-49.0549597500982,1.45509616183632,"AP",251,0.69999999,-50.23,0,0.91000003,0.445818577457116,2,0.477908306476765,-2.09245159886883,-48.4254840001746,1.56239317548679,1,1.24,-49.91,2.31799148185849,-47.6543550002182,"AP"
"8","chunk_1_2",-48.4254840001746,1.56239317548679,-49.0549597500982,1.45509616183632,"AP",251,0.69999999,-50.23,0,0.91000003,0.445818577457116,2,0.477908306476765,-2.09245159886883,-48.4254840001746,1.56239317548679,1,1.24,-49.91,2.31799148185849,-47.6543550002182,"AP"
"9","chunk_1_3",-49.91,1.24,-48.8789431501375,2.37413468357085,"AP",252,1.24,-49.91,0,1.14,0.445818577457116,2.5,0.477908306476765,-2.09245159886883,-47.6543550002182,2.31799148185849,1,2.1500001,-50.689999,3.78854715242491,-47.2614186003317,"AP"
"10","chunk_1_3",-50.689999,2.1500001,-48.8789431501375,2.37413468357085,"AP",252,1.24,-49.91,0,1.14,0.445818577457116,2.5,0.477908306476765,-2.09245159886883,-47.6543550002182,2.31799148185849,1,2.1500001,-50.689999,3.78854715242491,-47.2614186003317,"AP"
"11","chunk_1_3",-47.2614186003317,3.78854715242491,-48.8789431501375,2.37413468357085,"AP",252,1.24,-49.91,0,1.14,0.445818577457116,2.5,0.477908306476765,-2.09245159886883,-47.6543550002182,2.31799148185849,1,2.1500001,-50.689999,3.78854715242491,-47.2614186003317,"AP"
"12","chunk_1_3",-47.6543550002182,2.31799148185849,-48.8789431501375,2.37413468357085,"AP",252,1.24,-49.91,0,1.14,0.445818577457116,2.5,0.477908306476765,-2.09245159886883,-47.6543550002182,2.31799148185849,1,2.1500001,-50.689999,3.78854715242491,-47.2614186003317,"AP"
"13","chunk_1_4",-50.689999,2.1500001,-49.2733796501593,3.8219338817567,"AP",253,2.1500001,-50.689999,0,2.8699999,0.445818577457116,3.8,0.477908306476765,-2.09245159886883,-47.2614186003317,3.78854715242491,1,3.9200001,-51.150002,5.42918817460189,-47.9920990003055,"AP"
"14","chunk_1_4",-51.150002,3.9200001,-49.2733796501593,3.8219338817567,"AP",253,2.1500001,-50.689999,0,2.8699999,0.445818577457116,3.8,0.477908306476765,-2.09245159886883,-47.2614186003317,3.78854715242491,1,3.9200001,-51.150002,5.42918817460189,-47.9920990003055,"AP"
"15","chunk_1_4",-47.9920990003055,5.42918817460189,-49.2733796501593,3.8219338817567,"AP",253,2.1500001,-50.689999,0,2.8699999,0.445818577457116,3.8,0.477908306476765,-2.09245159886883,-47.2614186003317,3.78854715242491,1,3.9200001,-51.150002,5.42918817460189,-47.9920990003055,"AP"
"16","chunk_1_4",-47.2614186003317,3.78854715242491,-49.2733796501593,3.8219338817567,"AP",253,2.1500001,-50.689999,0,2.8699999,0.445818577457116,3.8,0.477908306476765,-2.09245159886883,-47.2614186003317,3.78854715242491,1,3.9200001,-51.150002,5.42918817460189,-47.9920990003055,"AP"
"17","chunk_1_5",-51.150002,3.9200001,-49.7889812827118,4.97752997430333,"AP",254,3.9200001,-51.150002,0,3.77,0.445818577457116,3.5,0.477908306476765,-2.09245159886883,-47.9920990003055,5.42918817460189,1,4.5,-51.639999,6.06093162261144,-48.3738251305418,"AP"
"18","chunk_1_5",-51.639999,4.5,-49.7889812827118,4.97752997430333,"AP",254,3.9200001,-51.150002,0,3.77,0.445818577457116,3.5,0.477908306476765,-2.09245159886883,-47.9920990003055,5.42918817460189,1,4.5,-51.639999,6.06093162261144,-48.3738251305418,"AP"
"19","chunk_1_5",-48.3738251305418,6.06093162261144,-49.7889812827118,4.97752997430333,"AP",254,3.9200001,-51.150002,0,3.77,0.445818577457116,3.5,0.477908306476765,-2.09245159886883,-47.9920990003055,5.42918817460189,1,4.5,-51.639999,6.06093162261144,-48.3738251305418,"AP"
"20","chunk_1_5",-47.9920990003055,5.42918817460189,-49.7889812827118,4.97752997430333,"AP",254,3.9200001,-51.150002,0,3.77,0.445818577457116,3.5,0.477908306476765,-2.09245159886883,-47.9920990003055,5.42918817460189,1,4.5,-51.639999,6.06093162261144,-48.3738251305418,"AP"
"21","chunk_2_1",-49.5424,0.45539999,-48.2747205327223,1.37916896993285,"PA",315,0.45539999,-49.5424,0,NA,0.781344427,4.0100002,2.31701201003036,-0.431590339485076,-46.6954306322264,3.27938069513223,2,-0.22,-48.91,2.00189519459918,-47.9510514986627,"PA"
"22","chunk_2_1",-48.91,-0.22,-48.2747205327223,1.37916896993285,"PA",315,0.45539999,-49.5424,0,NA,0.781344427,4.0100002,2.31701201003036,-0.431590339485076,-46.6954306322264,3.27938069513223,2,-0.22,-48.91,2.00189519459918,-47.9510514986627,"PA"
"23","chunk_2_1",-47.9510514986627,2.00189519459918,-48.2747205327223,1.37916896993285,"PA",315,0.45539999,-49.5424,0,NA,0.781344427,4.0100002,2.31701201003036,-0.431590339485076,-46.6954306322264,3.27938069513223,2,-0.22,-48.91,2.00189519459918,-47.9510514986627,"PA"
